ID,Gender,Owns_Car,Owns_Property,Children_Count,Income,Income_Type,Education_Level,Marital_Status,Housing_Type,Age,Employment_Duration,Occupation,Family_Size,Risk_Level,Account_Age,Is_Unemployed
5045878,M,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,26.6,0.4,Drivers,3.0,0,12,0
5045879,M,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,26.6,0.4,Drivers,3.0,0,51,0
5045881,M,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.1,,Unknown,2.0,0,53,1
5045882,M,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.1,,Unknown,2.0,1,31,1
5045883,M,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.1,,Unknown,2.0,1,19,1
5045884,M,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.1,,Unknown,2.0,0,19,1
5045885,M,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.1,,Unknown,2.0,1,7,1
5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63.8,,Unknown,1.0,2,50,1
5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63.8,,Unknown,1.0,2,52,1
5045896,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63.8,,Unknown,1.0,0,3,1
5045897,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63.8,,Unknown,1.0,1,5,1
5045898,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63.8,,Unknown,1.0,0,16,1
5045901,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63.8,,Unknown,1.0,1,35,1
5045903,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,23.4,1.5,High skill tech staff,1.0,1,19,0
5045904,F,N,Y,2,292500.0,Working,Higher education,Married,House / apartment,33.1,4.3,Managers,4.0,0,16,0
5045905,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,28,0
5045906,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,41,0
5045907,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,51,0
5045908,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,56,0
5045910,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,3,0
5045911,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,51,0
5045912,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,56,0
5045914,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,20,0
5045915,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,19,0
5045916,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,19,0
5045917,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46.5,5.5,Drivers,2.0,0,15,0
5045918,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,1,35,1
5045919,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,0,9,1
5045920,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,0,49,1
5045921,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,0,60,1
5045922,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,0,59,1
5045923,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,0,32,1
5045924,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,0,9,1
5045925,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,0,51,1
5045926,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,1,28,1
5045927,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,65.5,,Unknown,2.0,0,11,1
5045928,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.2,6.0,Laborers,1.0,0,16,0
5045930,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.2,6.0,Laborers,1.0,0,11,0
5045931,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.2,6.0,Laborers,1.0,0,16,0
5045932,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.2,6.0,Laborers,1.0,0,30,0
5045934,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.2,6.0,Laborers,1.0,0,8,0
5045953,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,52.2,10.7,Unknown,1.0,0,34,0
5045954,F,Y,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,52.2,10.7,Unknown,1.0,1,10,0
5045957,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.8,12.6,Laborers,3.0,0,59,0
5045962,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.8,12.6,Laborers,3.0,0,59,0
5045963,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.8,12.6,Laborers,3.0,0,11,0
5045964,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.8,12.6,Laborers,3.0,0,3,0
5045966,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,24.9,2.9,Laborers,3.0,0,1,0
5045967,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,24.9,2.9,Laborers,3.0,0,2,0
5045968,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,24.9,2.9,Laborers,3.0,0,3,0
5045969,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,24.9,2.9,Laborers,3.0,0,4,0
5045970,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,24.9,2.9,Laborers,3.0,0,5,0
5045971,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,24.9,2.9,Laborers,3.0,0,25,0
5045972,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,24.9,2.9,Laborers,3.0,0,0,0
5045973,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,24.9,2.9,Laborers,3.0,0,12,0
5045974,M,Y,Y,1,360000.0,Working,Higher education,Married,House / apartment,32.2,10.6,Managers,3.0,0,53,0
5045975,M,Y,Y,1,360000.0,Working,Higher education,Married,House / apartment,32.2,10.6,Managers,3.0,0,5,0
5045976,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,57.9,4.6,Sales staff,2.0,0,24,0
5045977,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,57.9,4.6,Sales staff,2.0,0,38,0
5045978,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,57.9,4.6,Sales staff,2.0,0,13,0
5045979,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,57.9,4.6,Sales staff,2.0,0,15,0
5045980,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,57.9,4.6,Sales staff,2.0,0,11,0
5045981,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,57.9,4.6,Sales staff,2.0,0,14,0
5045982,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,57.9,4.6,Sales staff,2.0,0,25,0
5045983,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,57.9,4.6,Sales staff,2.0,0,19,0
5045985,F,N,N,0,117000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,47.2,2.1,Laborers,1.0,1,10,0
5045986,F,N,N,0,117000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,47.2,2.1,Laborers,1.0,0,50,0
5045987,F,N,N,0,117000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,47.2,2.1,Laborers,1.0,1,37,0
5045989,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.8,12.3,Laborers,2.0,0,17,0
5045991,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.8,12.3,Laborers,2.0,0,7,0
5045992,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.8,12.3,Laborers,2.0,0,4,0
5045993,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.8,12.3,Laborers,2.0,0,8,0
5045994,M,Y,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.5,6.9,Sales staff,1.0,0,58,0
5045995,M,Y,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.5,6.9,Sales staff,1.0,0,43,0
5045996,M,Y,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.5,6.9,Sales staff,1.0,0,25,0
5045997,M,Y,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.5,6.9,Sales staff,1.0,0,33,0
5045999,F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,41.2,9.1,Private service staff,2.0,0,42,0
5046003,F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,41.2,9.1,Private service staff,2.0,0,16,0
5046004,F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,41.2,9.1,Private service staff,2.0,0,7,0
5046006,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.3,Cooking staff,2.0,0,40,0
5046007,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.3,Cooking staff,2.0,0,59,0
5046008,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.3,Cooking staff,2.0,1,5,0
5046010,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.3,Cooking staff,2.0,1,54,0
5046011,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.3,Cooking staff,2.0,0,40,0
5046012,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.3,Cooking staff,2.0,0,51,0
5046016,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.3,Cooking staff,2.0,0,18,0
5046017,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.3,Cooking staff,2.0,1,14,0
5046018,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,32.8,9.8,Managers,3.0,0,38,0
5046019,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,32.8,9.8,Managers,3.0,0,49,0
5046021,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,32.8,9.8,Managers,3.0,0,46,0
5046022,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,32.8,9.8,Managers,3.0,0,54,0
5046023,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,32.8,9.8,Managers,3.0,0,39,0
5046025,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,32.8,9.8,Managers,3.0,0,7,0
5046026,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,32.8,9.8,Managers,3.0,0,16,0
5046027,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,32.8,9.8,Managers,3.0,0,20,0
5046028,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,32.8,9.8,Managers,3.0,0,30,0
5046029,F,Y,Y,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,46.7,0.5,Sales staff,3.0,1,18,0
5046030,F,Y,Y,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,46.7,0.5,Sales staff,3.0,0,0,0
5046031,F,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,30.8,3.5,Sales staff,4.0,1,10,0
5046032,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,58.9,,Unknown,2.0,0,35,1
5046033,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,58.9,,Unknown,2.0,0,36,1
5046034,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,58.9,,Unknown,2.0,0,7,1
5046035,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,58.9,,Unknown,2.0,0,57,1
5046036,F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,58.9,,Unknown,2.0,0,55,1
5046037,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,50.3,0.9,Sales staff,2.0,0,19,0
5046038,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,50.3,0.9,Sales staff,2.0,0,12,0
5046039,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,50.3,0.9,Sales staff,2.0,0,12,0
5046040,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,0,27,0
5046041,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,0,31,0
5046042,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,0,38,0
5046043,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,0,20,0
5046046,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,0,50,0
5046047,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,0,40,0
5046048,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,0,10,0
5046049,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,1,16,0
5046050,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,0,27,0
5046051,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,48.7,23.2,Managers,2.0,0,5,0
5046052,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,62.5,25.3,Unknown,2.0,0,39,0
5046053,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,62.5,25.3,Unknown,2.0,0,55,0
5046054,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,62.5,25.3,Unknown,2.0,0,36,0
5046056,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,62.5,25.3,Unknown,2.0,0,27,0
5046058,F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,35.5,6.0,Managers,2.0,0,30,0
5046059,F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,35.5,6.0,Managers,2.0,0,35,0
5046060,F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,35.5,6.0,Managers,2.0,0,29,0
5046061,F,N,Y,0,202500.0,Commercial associate,Higher education,Married,House / apartment,35.5,6.0,Managers,2.0,0,16,0
5046062,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.3,,Unknown,2.0,0,34,1
5046063,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.3,,Unknown,2.0,0,3,1
5046064,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.3,,Unknown,2.0,0,9,1
5046065,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.3,,Unknown,2.0,0,6,1
5046066,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.3,,Unknown,2.0,0,39,1
5046067,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.3,,Unknown,2.0,0,26,1
5046068,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.3,,Unknown,2.0,0,20,1
5046069,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.3,,Unknown,2.0,0,4,1
5046070,F,N,Y,0,270000.0,State servant,Higher education,Separated,House / apartment,53.4,3.7,Core staff,1.0,0,16,0
5046072,F,N,Y,0,270000.0,State servant,Higher education,Separated,House / apartment,53.4,3.7,Core staff,1.0,0,47,0
5046073,F,N,Y,0,270000.0,State servant,Higher education,Separated,House / apartment,53.4,3.7,Core staff,1.0,0,44,0
5046075,F,Y,Y,2,112500.0,State servant,Lower secondary,Married,House / apartment,39.0,15.6,Medicine staff,4.0,0,34,0
5046077,F,Y,Y,2,112500.0,State servant,Lower secondary,Married,House / apartment,39.0,15.6,Medicine staff,4.0,0,13,0
5046079,F,Y,Y,2,112500.0,State servant,Lower secondary,Married,House / apartment,39.0,15.6,Medicine staff,4.0,0,34,0
5046080,F,Y,Y,2,112500.0,State servant,Lower secondary,Married,House / apartment,39.0,15.6,Medicine staff,4.0,0,29,0
5046081,F,Y,Y,2,112500.0,State servant,Lower secondary,Married,House / apartment,39.0,15.6,Medicine staff,4.0,0,7,0
5046082,F,Y,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,57.6,6.3,Unknown,2.0,0,33,0
5046083,F,Y,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,57.6,6.3,Unknown,2.0,1,38,0
5046084,F,Y,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,57.6,6.3,Unknown,2.0,0,45,0
5046085,F,Y,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,57.6,6.3,Unknown,2.0,0,29,0
5046086,F,Y,Y,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,57.6,6.3,Unknown,2.0,0,10,0
5046087,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,44,1
5046088,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,56,1
5046089,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,47,1
5046090,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,45,1
5046091,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,29,1
5046092,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,29,1
5046093,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,28,1
5046094,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,23,1
5046095,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,12,1
5046096,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,8,1
5046097,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.6,,Unknown,1.0,0,4,1
5046098,F,Y,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,51.1,3.2,Medicine staff,2.0,0,54,0
5046099,F,Y,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,51.1,3.2,Medicine staff,2.0,0,53,0
5046101,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,58.9,,Unknown,1.0,0,48,1
5046102,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,58.9,,Unknown,1.0,0,36,1
5046104,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,58.9,,Unknown,1.0,0,49,1
5046105,F,N,Y,2,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,37.4,10.6,Cleaning staff,4.0,0,28,0
5046106,F,N,Y,2,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,37.4,10.6,Cleaning staff,4.0,0,36,0
5046107,F,N,Y,2,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,37.4,10.6,Cleaning staff,4.0,0,1,0
5046108,F,N,Y,2,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,37.4,10.6,Cleaning staff,4.0,0,4,0
5046109,F,N,Y,2,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,37.4,10.6,Cleaning staff,4.0,0,0,0
5046110,M,N,N,0,126000.0,Working,Higher education,Single / not married,House / apartment,34.5,5.2,Core staff,1.0,0,47,0
5046111,M,N,N,0,126000.0,Working,Higher education,Single / not married,House / apartment,34.5,5.2,Core staff,1.0,1,45,0
5046112,M,N,N,0,126000.0,Working,Higher education,Single / not married,House / apartment,34.5,5.2,Core staff,1.0,0,32,0
5046113,M,N,N,0,126000.0,Working,Higher education,Single / not married,House / apartment,34.5,5.2,Core staff,1.0,1,21,0
5046114,M,N,N,0,126000.0,Working,Higher education,Single / not married,House / apartment,34.5,5.2,Core staff,1.0,1,9,0
5046115,M,N,N,0,126000.0,Working,Higher education,Single / not married,House / apartment,34.5,5.2,Core staff,1.0,1,7,0
5046116,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,0,38,0
5046117,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,0,31,0
5046118,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,1,42,0
5046120,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,0,2,0
5046122,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,0,56,0
5046124,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,0,52,0
5046125,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,0,41,0
5046126,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,0,38,0
5046127,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,1,26,0
5046128,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,55.6,8.5,Managers,2.0,0,23,0
5046129,F,N,Y,0,76500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,27.5,,Unknown,2.0,0,1,1
5046130,M,N,Y,1,117000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42.0,4.3,Laborers,3.0,0,5,0
5046131,M,N,Y,1,117000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42.0,4.3,Laborers,3.0,0,2,0
5046132,M,N,Y,1,117000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42.0,4.3,Laborers,3.0,0,13,0
5046133,M,N,Y,1,117000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,42.0,4.3,Laborers,3.0,0,4,0
5046134,M,N,Y,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.9,,Unknown,1.0,0,3,1
5046135,M,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Separated,Rented apartment,48.6,11.9,Drivers,1.0,0,59,0
5046137,M,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Separated,Rented apartment,48.6,11.9,Drivers,1.0,0,59,0
5046138,M,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Separated,Rented apartment,48.6,11.9,Drivers,1.0,0,0,0
5046140,F,N,Y,0,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,44.1,2.7,Sales staff,2.0,0,42,0
5046141,F,N,Y,0,126000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,44.1,2.7,Sales staff,2.0,0,42,0
5046142,M,Y,N,0,180000.0,Working,Higher education,Married,With parents,30.2,5.7,Drivers,2.0,1,11,0
5046143,M,Y,N,0,180000.0,Working,Higher education,Married,With parents,30.2,5.7,Drivers,2.0,0,35,0
5046144,M,Y,N,0,180000.0,Working,Higher education,Married,With parents,30.2,5.7,Drivers,2.0,1,43,0
5046145,M,Y,N,0,180000.0,Working,Higher education,Married,With parents,30.2,5.7,Drivers,2.0,0,14,0
5046147,M,Y,N,0,180000.0,Working,Higher education,Married,With parents,30.2,5.7,Drivers,2.0,0,35,0
5046148,F,Y,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,52.8,7.1,Core staff,2.0,0,37,0
5046150,F,Y,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,52.8,7.1,Core staff,2.0,0,17,0
5046151,F,Y,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,52.8,7.1,Core staff,2.0,0,50,0
5046152,F,Y,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,52.8,7.1,Core staff,2.0,0,14,0
5046153,F,Y,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,52.8,7.1,Core staff,2.0,0,54,0
5046155,F,Y,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,52.8,7.1,Core staff,2.0,0,17,0
5046156,F,Y,Y,0,45000.0,Pensioner,Higher education,Married,House / apartment,61.4,,Unknown,2.0,0,41,1
5046157,F,Y,Y,0,45000.0,Pensioner,Higher education,Married,House / apartment,61.4,,Unknown,2.0,0,38,1
5046158,F,Y,Y,0,45000.0,Pensioner,Higher education,Married,House / apartment,61.4,,Unknown,2.0,0,8,1
5046159,F,Y,Y,0,45000.0,Pensioner,Higher education,Married,House / apartment,61.4,,Unknown,2.0,0,12,1
5046160,F,Y,Y,0,45000.0,Pensioner,Higher education,Married,House / apartment,61.4,,Unknown,2.0,0,34,1
5046161,F,Y,Y,0,45000.0,Pensioner,Higher education,Married,House / apartment,61.4,,Unknown,2.0,1,19,1
5046162,F,Y,Y,0,45000.0,Pensioner,Higher education,Married,House / apartment,61.4,,Unknown,2.0,0,1,1
5046165,M,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,39.9,6.6,Laborers,2.0,0,59,0
5046169,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54.7,4.6,Security staff,2.0,0,23,0
5046170,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,55.1,0.3,High skill tech staff,1.0,0,14,0
5046171,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,55.1,0.3,High skill tech staff,1.0,0,20,0
